age,gender,split,final,nationality,size,weight
36,M,01:15:17,02:33:56,IT,178.99,85
42,M,01:15:37,02:33:59,AU,171.04,79
35,M,01:15:30,02:34:03,AU,169.42,78.2
26,M,01:12:56,02:34:05,AU,169.38,80.8
26,M,01:15:19,02:34:06,AU,179.48,81.7
35,W,01:14:29,02:34:11,IT,155.6,47.6
28,M,01:13:13,02:34:15,AU,172.75,85.5
41,M,01:16:56,02:34:18,AU,168.61,79.8
25,M,01:14:28,02:34:21,DE,183.92,93.9
33,M,01:13:30,02:34:31,IT,175.58,79.8
25,M,01:13:51,02:34:33,DE,181.56,86.4
41,M,01:15:41,02:34:37,DE,180.35,90.7
36,M,01:14:58,02:34:40,IT,175.41,89.2
31,M,01:13:32,02:34:41,DE,183.13,85.8
24,M,01:15:26,02:34:42,AU,169.1,80.5
34,M,01:15:19,02:34:57,IT,174.14,79.9
36,W,01:15:38,02:34:58,IT,153.56,48.2
23,M,01:15:09,02:35:01,DE,182.88,80.8
35,M,01:15:10,02:35:04,IT,171.74,79.5
34,M,01:14:00,02:35:05,AU,164.21,80.9
34,W,01:15:24,02:35:10,IT,156.69,47.3
38,M,01:12:39,02:35:10,DE,183.01,91.4
26,M,01:15:25,02:35:21,AU,168.11,86.1
41,M,01:17:40,02:35:27,AU,175.07,82.1
27,M,01:16:36,02:35:28,DE,185.34,90
36,W,01:15:19,02:35:28,IT,155.33,52
35,M,01:15:12,02:35:30,DE,185.34,80.5
34,M,01:14:15,02:35:33,IT,174.32,81.6
24,M,01:15:14,02:35:35,IT,171.94,82.2
28,M,01:15:55,02:35:46,DE,182.86,84.3
28,M,01:15:25,02:35:55,DE,183.38,86.6
24,M,01:14:33,02:35:57,AU,175.82,83.1
34,M,01:16:03,02:36:04,DE,183.02,88.6
38,M,01:15:09,02:36:05,AU,170.52,82
31,M,01:17:28,02:36:08,DE,180.74,85.7
24,M,01:18:45,02:36:09,IT,169.96,80.3
38,M,01:13:44,02:36:11,IT,172.05,82.5
34,M,01:17:16,02:36:16,DE,179.87,86.5
32,M,01:17:28,02:36:19,DE,178.01,84
29,M,01:16:53,02:36:33,IT,170.24,77.3
27,M,01:17:19,02:36:33,DE,186.04,85.3
28,M,01:16:59,02:36:35,AU,176.4,81.3
35,M,01:15:45,02:36:38,AU,172.88,79.6
30,M,01:16:33,02:36:42,DE,182.54,87
31,M,01:14:55,02:36:42,AU,173.7,78.6
29,M,01:18:40,02:36:42,IT,174.38,78.1
33,M,01:16:46,02:36:43,AU,179.56,79.8
23,M,01:14:12,02:36:44,DE,180.94,86.7
37,M,01:16:23,02:36:45,DE,177.62,86.7
26,M,01:18:07,02:36:49,AU,167.76,76.2
24,M,01:18:47,02:36:50,IT,165.45,85.9
38,M,01:10:04,02:36:50,DE,182.3,87.3
33,M,01:15:27,02:37:03,AU,176.99,81.5
41,M,01:18:19,02:37:05,IT,171.41,83.6
26,M,01:17:46,02:37:05,AU,169.78,82.2
26,M,01:17:20,02:37:20,IT,175.51,84.1
45,M,01:16:57,02:37:20,DE,181.33,88.6
30,M,01:16:27,02:37:23,DE,179.92,86.6
36,M,01:16:58,02:37:25,DE,183.03,83.1
33,M,01:13:59,02:37:32,DE,181.09,85.5
33,M,01:13:06,02:37:45,IT,171.57,78
35,M,01:17:31,02:37:53,IT,173.81,73.8
40,M,01:16:21,02:37:54,IT,181,83
37,M,01:10:10,02:37:56,AU,172.92,84
34,M,01:19:48,02:38:00,AU,177.42,77.4
32,M,01:15:30,02:38:01,IT,169.8,83.9
35,M,01:19:03,02:38:02,DE,181.99,87.8
38,M,01:17:28,02:38:12,AU,173.26,85.3
32,M,01:12:19,02:38:22,DE,181.66,87
40,M,01:17:41,02:38:29,AU,169.08,86.2
26,M,01:16:14,02:38:52,IT,165.24,81.1
31,M,01:17:42,02:38:54,DE,182.95,87.7
22,M,01:19:04,02:38:55,DE,180.6,90.3
46,M,01:14:53,02:38:59,DE,181.07,83.9
26,M,01:13:30,02:39:04,DE,181.19,86
29,M,01:20:33,02:39:07,DE,182.94,82.8
28,M,01:17:48,02:39:08,AU,172.71,80.5
32,M,01:17:30,02:39:12,AU,162.3,83.4
31,W,01:17:08,02:39:15,AU,144.6,46.2
33,M,01:16:54,02:39:19,DE,182.83,83.1
27,M,01:19:23,02:39:21,DE,183.53,85.5
22,M,01:17:25,02:39:29,AU,178.19,80.2
30,M,01:16:47,02:39:36,AU,171.77,81.5
37,M,01:15:40,02:39:44,DE,182.87,86.5
26,M,01:14:07,02:39:50,IT,183.64,79.2
40,M,01:18:24,02:39:51,AU,174.71,81.1
44,M,01:16:59,02:39:52,DE,179.26,87.1
23,M,01:18:46,02:39:56,AU,172.2,79.9
40,M,01:17:58,02:39:59,AU,168.16,81.8
23,M,01:18:15,02:39:59,IT,181.53,81
40,M,01:19:28,02:40:01,DE,182.91,85.9
46,M,01:15:09,02:40:03,AU,176.23,79.3
32,M,01:17:44,02:40:04,AU,176.05,78.9
28,M,01:21:02,02:40:05,DE,183.25,89.3
27,M,01:19:37,02:40:07,AU,178.27,84.1
40,M,01:19:01,02:40:09,AU,177.95,85
33,M,01:19:48,02:40:09,DE,181.72,88.1
40,M,01:17:47,02:40:11,DE,182.19,86.5
23,W,01:20:25,02:40:12,AU,145.83,47.2
38,M,01:19:53,02:40:15,IT,170.51,84.7
35,M,01:18:50,02:40:26,DE,181.04,84.3
30,M,01:18:52,02:40:31,DE,184.53,89
33,M,01:18:35,02:40:32,AU,172.31,82.7
26,M,01:16:02,02:40:41,DE,179.43,86.8
24,M,01:18:35,02:40:47,IT,175.99,76.1
53,M,01:15:11,02:40:49,DE,180.1,87.9
37,M,01:17:57,02:40:51,DE,183.24,88.3
34,M,01:17:42,02:40:53,IT,174.93,83.8
31,M,01:17:57,02:40:56,DE,183.5,86
42,M,01:20:09,02:41:00,AU,172.1,82.4
41,M,01:19:48,02:41:16,DE,180.97,92.6
35,W,01:18:19,02:41:16,IT,153.38,49.1
44,M,01:19:12,02:41:17,AU,172.92,82.9
33,M,01:14:57,02:41:17,AU,171.14,73.6
36,M,01:18:39,02:41:25,DE,184.57,89.4
44,M,01:19:34,02:41:26,AU,173.54,77.3
34,M,01:18:47,02:41:32,IT,177.11,79.9
39,M,01:14:44,02:41:33,AU,168.64,82.1
30,M,01:18:28,02:41:36,DE,181.15,89.6
40,M,01:18:15,02:41:59,AU,173.05,83.4
32,M,01:17:29,02:42:01,AU,174.34,84.9
18,W,01:18:03,02:42:06,DE,155.44,62
40,M,01:17:48,02:42:06,DE,181.91,91.2
25,M,01:19:00,02:42:08,IT,168.39,81.9
31,M,01:15:20,02:42:10,AU,175.88,82.8
44,M,01:19:47,02:42:10,IT,172.59,80
34,M,01:20:32,02:42:14,DE,183.36,91.9
42,M,01:18:48,02:42:14,DE,184.82,88.7
27,M,01:17:49,02:42:15,DE,179.16,86.6
36,M,01:20:06,02:42:19,IT,183.11,84.5
27,W,01:22:19,02:42:23,AU,148.52,43.2
27,M,01:17:49,02:42:27,DE,182.99,88.2
27,M,01:22:18,02:42:27,DE,179.88,89.6
40,M,01:20:40,02:42:33,DE,185.84,83.6
35,M,01:20:04,02:42:34,IT,180.21,84.4
35,M,01:18:06,02:42:35,IT,171,87.4
32,M,01:25:19,02:42:35,DE,182.01,84.7
25,M,01:20:04,02:42:36,IT,167.66,79.5
38,M,01:16:24,02:42:37,IT,179.54,78.5
24,M,01:16:21,02:42:38,DE,184.12,89.1
29,M,01:20:31,02:42:39,IT,172.23,81.2
30,M,01:18:09,02:42:41,AU,173.5,79.6
27,M,01:19:50,02:42:42,IT,181.39,81.5
25,M,01:20:50,02:42:42,DE,181.78,82.7
40,M,01:18:42,02:42:44,AU,178.48,84.4
36,M,01:21:25,02:42:46,DE,179.95,88
33,M,01:21:50,02:42:48,IT,169.71,77.7
38,M,01:19:13,02:42:50,DE,181.63,86.6
38,M,01:17:13,02:42:51,AU,165.3,80.4
41,M,01:19:56,02:42:54,DE,181.48,87.7
29,M,01:20:18,02:43:00,IT,176.51,82.6
57,M,01:19:05,02:43:06,IT,179.77,81.1
44,M,01:20:23,02:43:17,AU,174.71,77.3
27,M,01:15:19,02:43:18,IT,174.16,88.3
52,M,01:20:44,02:43:25,AU,171.34,78.7
44,M,01:20:41,02:43:30,AU,169.49,82.6
40,M,01:20:31,02:43:30,IT,172.62,82.7
36,M,01:20:03,02:43:32,AU,174.96,82.4
32,M,01:20:34,02:43:34,IT,174.45,81.9
33,M,01:18:50,02:43:34,DE,182.15,83.4
27,W,01:21:03,02:43:36,DE,155.26,56.6
52,M,01:19:26,02:43:37,DE,183.82,85.4
30,M,01:18:37,02:43:38,DE,184.88,87.2
33,W,01:18:51,02:43:40,IT,156.28,51.4
41,M,01:19:07,02:43:40,DE,181.03,87.2
29,M,01:19:48,02:43:41,IT,173.29,77
35,M,01:19:17,02:43:41,AU,180.26,83.7
27,M,01:18:22,02:43:43,AU,168.24,82.7
29,W,01:20:48,02:43:43,IT,153.49,45.8
45,M,01:18:03,02:43:48,AU,172.84,78.3
32,M,01:20:25,02:43:49,AU,169.59,80.2
49,M,01:20:02,02:43:55,AU,174.55,87.3
34,M,01:19:42,02:43:57,AU,175.75,79.8
31,M,01:17:36,02:44:03,IT,169.48,82.9
39,M,01:18:57,02:44:06,IT,169.78,81.7
28,M,01:18:41,02:44:10,AU,172.85,81.1
24,M,01:19:01,02:44:10,DE,179.34,87
50,M,01:19:53,02:44:13,AU,177.12,82.3
25,M,01:20:28,02:44:16,DE,184.28,87.1
30,M,01:17:20,02:44:16,IT,165.92,80.4
33,M,01:18:15,02:44:21,DE,179.18,80.1
29,M,01:21:31,02:44:22,IT,178.42,81.3
48,M,01:19:56,02:44:23,IT,170.54,81.5
24,M,01:15:31,02:44:29,DE,182.81,86.4
28,M,01:19:05,02:44:34,AU,174.77,82.6
34,M,01:18:30,02:44:36,IT,172.65,80.6
24,M,01:20:09,02:44:44,IT,176.07,78.9
42,M,01:20:31,02:44:47,AU,175.58,78.9
24,M,01:18:49,02:44:48,DE,182.24,85.2
33,M,01:21:02,02:44:51,IT,175.45,78.6
24,M,01:20:44,02:44:56,IT,172.14,82
44,M,01:22:46,02:45:00,DE,185.03,87.7
32,M,01:18:16,02:45:02,IT,178.19,83.4
30,W,01:20:55,02:45:02,AU,145.9,50.6
37,M,01:18:08,02:45:04,AU,186.24,86.1
32,M,01:18:44,02:45:08,DE,178.03,89.5
31,M,01:23:44,02:45:13,AU,173.91,80.6
45,M,01:21:13,02:45:14,DE,183.48,85.5
27,M,01:18:08,02:45:19,AU,169.28,81.2
27,M,01:22:22,02:45:23,DE,182.99,87.4
27,M,01:18:26,02:45:24,DE,180.76,84
25,M,01:18:01,02:45:25,AU,174.12,85.6
49,M,01:20:34,02:45:25,IT,176.77,81.8
37,M,01:19:36,02:45:27,AU,170.58,77.6
39,M,01:22:49,02:45:28,IT,170.61,78.1
31,M,01:19:50,02:45:35,IT,163.37,85.4
32,M,01:20:15,02:45:36,DE,184.81,85.5
40,M,01:19:07,02:45:41,AU,174.04,78.2
31,M,01:18:47,02:45:41,AU,177.14,79.1
35,M,01:20:56,02:45:42,IT,175.53,78.7
36,M,01:22:05,02:45:45,DE,185.78,84.4
39,M,01:22:37,02:45:46,DE,179.75,92.2
34,M,01:20:08,02:45:50,AU,163.92,79.2
41,M,01:20:12,02:45:54,AU,178.15,84.5
22,M,01:15:58,02:45:54,DE,181.28,88.6
39,M,01:20:40,02:45:56,IT,170.76,82.8
43,M,01:18:11,02:45:56,IT,179.52,85.8
31,M,01:22:00,02:45:57,IT,169.73,80.6
32,M,01:15:20,02:45:58,AU,178.14,80.5
38,M,01:19:30,02:45:59,AU,175.75,83.2
28,M,01:20:14,02:46:00,AU,178.22,80.4
31,M,01:21:43,02:46:00,DE,181.89,89.1
29,M,01:15:47,02:46:00,AU,170.88,85.1
39,M,01:19:16,02:46:12,IT,181.07,87
36,M,01:17:41,02:46:13,DE,182.21,87.5
31,M,01:20:34,02:46:20,AU,169.29,85.4
33,M,01:21:13,02:46:20,IT,165.81,81.5
36,M,01:22:47,02:46:26,DE,179.36,85
41,M,01:21:43,02:46:34,DE,180.25,87.7
43,M,01:20:14,02:46:36,DE,182.1,84
35,M,01:20:38,02:46:38,IT,167.81,80
39,W,01:21:00,02:46:46,AU,144.61,50.1
32,M,01:17:37,02:46:47,IT,167.07,80.3
23,M,01:13:40,02:46:47,IT,167.98,79.8
30,W,01:21:29,02:46:48,DE,154.66,57.9
31,M,01:23:43,02:46:48,IT,172.69,86.2
23,W,01:20:48,02:46:50,AU,144.68,49.8
49,M,01:22:17,02:46:51,DE,179.65,82.4
36,M,01:21:55,02:46:51,IT,172.99,79.2
41,M,01:18:34,02:46:52,DE,184.96,83
42,M,01:21:43,02:47:00,DE,183.35,87.8
38,M,01:22:23,02:47:00,AU,170.96,83.1
38,M,01:24:03,02:47:06,DE,182.16,84.5
32,M,01:17:41,02:47:14,IT,168.18,80
27,M,01:21:40,02:47:16,AU,168.38,80.3
46,M,01:20:30,02:47:22,DE,181.75,86
41,M,01:14:49,02:47:22,IT,174.04,80.3
39,M,01:22:40,02:47:25,IT,172.82,84
40,M,01:19:21,02:47:25,AU,176.47,88.2
30,M,01:21:36,02:47:28,IT,175.66,81.2
25,M,01:20:23,02:47:28,IT,174.38,77.7
28,M,01:23:24,02:47:31,DE,183.98,89
27,M,01:22:10,02:47:33,DE,183.26,92
27,M,01:14:52,02:47:34,DE,182.23,93.3
37,M,01:22:00,02:47:36,AU,167.66,80.7
45,M,01:22:52,02:47:37,DE,181.77,86.9
41,M,01:22:03,02:47:37,IT,168.08,86
37,M,01:18:08,02:47:37,AU,177.94,80.7
29,M,01:21:30,02:47:39,DE,182.17,84.9
35,M,01:22:21,02:47:40,IT,179.06,90.6
40,M,01:20:31,02:47:42,IT,177.95,83.7
37,M,01:18:52,02:47:44,DE,181.65,87
39,W,01:20:53,02:47:45,AU,145.11,45.6
44,M,01:23:37,02:47:48,AU,168.59,78.5
37,M,01:19:19,02:47:49,IT,165.73,79.2
26,M,01:24:09,02:47:50,IT,170.94,80.4
44,M,01:25:37,02:47:51,IT,168.2,79
33,M,01:20:43,02:47:51,DE,179.39,86.4
31,M,01:23:08,02:47:52,AU,167.38,86.1
26,M,01:24:51,02:47:59,AU,170.11,82.5
37,M,01:21:28,02:48:02,IT,169.53,78
47,M,01:23:27,02:48:03,DE,182.38,83.4
29,M,01:21:20,02:48:06,DE,182.5,89.8
45,M,01:23:08,02:48:07,IT,175.78,87.1
40,M,01:21:50,02:48:08,IT,177.96,84.6
26,M,01:21:57,02:48:09,DE,184.68,90.9
29,M,01:19:03,02:48:10,IT,168.18,80
47,M,01:23:24,02:48:11,DE,180.53,89.2
32,M,01:22:17,02:48:18,IT,173.03,80.7
40,M,01:22:19,02:48:18,IT,167.95,80.1
40,M,01:21:58,02:48:18,IT,180.49,75
39,M,01:19:58,02:48:20,DE,181.33,84.5
28,M,01:23:22,02:48:21,DE,180.4,93
34,M,01:17:36,02:48:24,AU,176.03,81.3
38,M,01:21:00,02:48:26,IT,178.24,82.5
33,M,01:20:37,02:48:26,IT,169.63,78.1
56,M,01:21:13,02:48:30,IT,173.2,83.4
44,M,01:22:10,02:48:31,AU,172.29,84.6
31,M,01:14:35,02:48:31,IT,172.6,85.6
34,M,01:25:35,02:48:34,DE,183.59,82.9
43,M,01:24:12,02:48:37,AU,179.65,85.2
24,M,01:21:09,02:48:42,IT,178.74,80.3
36,M,01:22:26,02:48:44,DE,180.22,92.5
26,M,01:17:09,02:48:45,IT,171.22,82.8
45,M,01:24:57,02:48:47,AU,171.73,87.2
45,M,01:23:34,02:48:48,IT,172.53,83.1
25,M,01:25:44,02:48:56,AU,175.16,81.4
28,M,01:18:38,02:48:58,DE,181.28,91.2
35,M,01:24:00,02:48:58,DE,184.44,85.7
35,M,01:22:50,02:49:00,IT,175.2,84
38,M,01:15:49,02:49:00,AU,170.49,79.7
24,M,01:22:35,02:49:02,DE,181.61,86.8
37,M,01:22:03,02:49:02,DE,181.06,85.7
40,M,01:22:38,02:49:02,DE,179.19,83.1
36,M,01:20:26,02:49:03,AU,175.71,80.4
40,M,01:22:57,02:49:07,AU,167.95,84.2
34,M,01:23:34,02:49:09,DE,181.05,88.5
30,M,01:23:59,02:49:10,DE,180.82,89.2
33,M,01:23:29,02:49:10,DE,183.63,89.8
41,M,01:19:02,02:49:12,AU,168.75,83.5
44,M,01:21:01,02:49:13,AU,184.44,87.3
57,M,01:21:57,02:49:16,DE,183.88,86.4
36,M,01:21:47,02:49:20,DE,181.79,87.4
27,M,01:22:31,02:49:23,IT,164.11,76
30,M,01:20:14,02:49:27,IT,170.61,81.2
28,W,01:22:12,02:49:29,DE,154.91,61.6
48,M,01:22:56,02:49:29,IT,167.31,82.9
37,M,01:17:03,02:49:31,AU,168.47,80.5
45,M,01:22:27,02:49:31,AU,171.36,81.8
21,M,01:23:40,02:49:34,IT,171.56,76.5
32,M,01:22:22,02:49:34,DE,183.04,83.4
49,M,01:22:00,02:49:36,AU,166.32,83.7
27,M,01:24:32,02:49:36,IT,176.78,88.5
22,M,01:20:35,02:49:37,AU,185.26,82.4
28,M,01:22:16,02:49:40,IT,171.08,81.7
25,W,01:18:00,02:49:41,DE,153.47,58.6
40,M,01:23:23,02:49:46,AU,171.28,82.2
43,M,01:21:41,02:49:48,AU,172.94,81.1
52,M,01:23:05,02:49:49,IT,170.27,78.8
23,M,01:15:55,02:49:50,IT,166.13,82.9
41,M,01:19:34,02:49:51,IT,171.95,83.3
41,M,01:24:05,02:49:51,IT,170.99,79.7
51,M,01:23:47,02:49:58,DE,181.31,81.6
37,M,01:24:22,02:49:58,DE,181.14,87.7
34,M,01:22:07,02:49:58,AU,173.21,86.9
47,M,01:24:50,02:50:04,AU,166.89,81.8
49,M,01:22:00,02:50:06,DE,183.83,85.5
41,M,01:23:36,02:50:08,AU,183.47,76.3
37,M,01:19:50,02:50:09,DE,186.6,87.7
38,M,01:20:59,02:50:10,DE,181.44,89.9
30,M,01:22:46,02:50:11,DE,184.14,89.4
43,M,01:21:30,02:50:14,IT,175.93,82.3
46,M,01:24:00,02:50:14,IT,173.72,85
42,M,01:21:24,02:50:16,IT,169.33,83.2
37,M,01:18:27,02:50:17,IT,172.94,79.3
51,M,01:24:10,02:50:19,IT,170.53,80.9
37,M,01:21:06,02:50:20,DE,179.43,92.8
24,M,01:23:52,02:50:21,DE,180.15,87
49,M,01:22:50,02:50:22,AU,176.05,81.7
38,W,01:24:26,02:50:23,AU,146.49,49.6
36,M,01:25:35,02:50:24,IT,175.62,82.1
32,M,01:23:21,02:50:26,DE,179.68,85.1
43,M,01:22:58,02:50:28,IT,183.42,81.1
38,M,01:23:06,02:50:29,AU,171.21,80.1
27,M,01:18:15,02:50:29,IT,183.65,81.3
42,M,01:22:21,02:50:29,IT,170.79,78.1
48,M,01:22:25,02:50:29,DE,185.72,84.1
23,M,01:17:11,02:50:30,AU,180.82,85.2
38,M,01:25:20,02:50:32,DE,179.47,94.6
29,M,01:23:43,02:50:32,DE,182.3,87
32,M,01:18:56,02:50:36,DE,178.82,82.8
29,M,01:15:17,02:50:40,DE,182.28,84
40,M,01:21:48,02:50:47,DE,180.72,88.1
49,M,01:24:49,02:50:48,DE,182.7,84.9
26,M,01:23:01,02:50:50,AU,179.08,75.8
24,M,01:20:40,02:50:53,IT,179.66,84.5
34,W,01:24:13,02:50:53,DE,154.94,62.3
34,M,01:19:47,02:50:55,AU,170,81.7
40,M,01:25:17,02:50:57,AU,173.86,77.6
30,M,01:25:17,02:50:57,DE,181.76,88.2
20,M,01:21:48,02:50:57,DE,178.22,84.6
27,M,01:21:05,02:50:58,IT,166.71,84.7
38,M,01:22:30,02:51:00,IT,165.61,78.8
39,M,01:21:50,02:51:01,IT,175.2,77
28,M,01:20:33,02:51:01,IT,180.42,85.1
35,M,01:20:24,02:51:01,AU,159.85,81.6
39,M,01:23:38,02:51:01,DE,183.18,91.2
41,M,01:23:35,02:51:03,DE,175.76,89.4
41,M,01:24:03,02:51:03,DE,183.28,87.4
28,M,01:24:34,02:51:05,DE,181.52,90.2
31,M,01:23:54,02:51:08,AU,176.2,79.1
34,M,01:17:57,02:51:10,AU,183.35,79.1
30,M,01:22:13,02:51:11,AU,171.68,84.9
39,M,01:24:31,02:51:15,AU,166.36,75.6
26,M,01:26:00,02:51:16,IT,172.06,87.3
41,M,01:22:12,02:51:17,IT,172.38,85.4
40,M,01:24:45,02:51:17,DE,186.05,88.8
27,M,01:20:35,02:51:19,AU,173.95,87.3
37,M,01:22:17,02:51:19,DE,182.44,84.1
38,M,01:22:39,02:51:20,AU,170.46,79.9
39,M,01:20:57,02:51:21,DE,180.6,91.2
41,W,01:24:18,02:51:25,IT,155.82,53.3
52,M,01:23:09,02:51:26,IT,174.31,77.2
42,M,01:25:35,02:51:27,DE,181.11,86.6
36,M,01:23:38,02:51:28,DE,178.89,86
31,M,01:25:06,02:51:29,IT,165.33,84.7
42,M,01:23:25,02:51:29,IT,174.06,82
28,M,01:23:52,02:51:31,DE,185.77,86.2
41,M,01:22:21,02:51:32,DE,181.26,86.4
42,M,01:21:49,02:51:33,IT,170.88,78.5
36,W,01:22:16,02:51:34,IT,157.51,50.9
48,M,01:23:37,02:51:35,DE,180.14,83.1
30,M,01:22:43,02:51:38,DE,182.07,86.7
35,M,01:23:52,02:51:38,IT,176.07,88.1
34,M,01:22:44,02:51:40,IT,176,85.7
21,M,01:23:34,02:51:41,IT,174.25,82
44,M,01:19:33,02:51:41,AU,168.51,80.5
50,M,01:22:24,02:51:42,DE,187.82,89.8
40,M,01:23:57,02:51:42,AU,184.87,86.2
40,M,01:24:54,02:51:44,IT,179.79,81.1
31,M,01:22:30,02:51:47,DE,183.05,86.9
28,M,01:23:01,02:51:49,DE,180.25,84.3
38,M,01:24:29,02:51:51,AU,172.98,81.5
28,M,01:23:46,02:51:52,IT,178.73,78.7
35,M,01:21:22,02:51:54,AU,170.74,80.9
21,M,01:20:04,02:51:55,AU,167.77,82.8
28,M,01:22:53,02:51:57,IT,170.1,81.4
31,W,01:25:52,02:51:58,DE,154.58,60.1
39,M,01:23:17,02:51:58,IT,174.27,84.6
42,M,01:19:36,02:51:59,AU,180.55,85.6
34,M,01:23:33,02:51:59,DE,186.64,80.4
46,M,01:24:50,02:51:59,AU,168.42,76.2
22,W,01:25:11,02:52:01,IT,153.7,47.5
35,M,01:25:40,02:52:06,IT,176.75,83.2
